// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	    590000	      5239	      4492
       100	    590000	      4917	      5657
      1000	    590000	      4702	      5257
     10000	    590000	      4982	      5156
    100000	    590000	      5761	      3478
        10	    600000	      5813	      5513
       100	    600000	      6117	      4963
      1000	    600000	      5337	      5416
     10000	    600000	      5287	      5110
    100000	    600000	      6132	      3857
        10	    610000	      5495	      5587
       100	    610000	      5286	      5129
      1000	    610000	      5405	      5057
     10000	    610000	      5601	      4277
    100000	    610000	      6380	      3025
        10	    620000	      5002	      4930
       100	    620000	      5029	      4827
      1000	    620000	      5278	      4811
     10000	    620000	      5349	      4243
    100000	    620000	      6336	      3105
        10	    630000	      5074	      4896
       100	    630000	      4963	      4991
      1000	    630000	      5985	      4803
     10000	    630000	      5301	      4323
    100000	    630000	      6375	      3090
        10	    640000	      5417	      4867
       100	    640000	      5261	      5063
      1000	    640000	      5558	      4952
     10000	    640000	      5262	      4301
    100000	    640000	      6795	      3100
        10	    650000	      5176	      5037
       100	    650000	      5622	      4948
      1000	    650000	      5294	      4802
     10000	    650000	      5898	      5016
    100000	    650000	      6237	      3219
        10	    660000	      5337	      5034
       100	    660000	      5831	      5049
      1000	    660000	      5608	      4953
     10000	    660000	      6163	      4606
    100000	    660000	      6274	      4970
        10	    670000	      5411	      5197
       100	    670000	      5370	      5135
      1000	    670000	      5472	      5260
     10000	    670000	      5361	      4626
    100000	    670000	      7019	      3252
        10	    680000	      5521	      5343
       100	    680000	      5438	      5326
      1000	    680000	      5815	      5100
     10000	    680000	      5738	      4730
    100000	    680000	      7208	      3563
        10	    690000	      5601	      5374
       100	    690000	      5595	      5344
      1000	    690000	      5811	      5322
     10000	    690000	      5869	      4695
    100000	    690000	      6742	      5126
        10	    700000	      5544	      5716
       100	    700000	      5504	      5426
      1000	    700000	      6586	      5248
     10000	    700000	      6089	      4823
    100000	    700000	      6509	      3360
        10	    710000	      5901	      5533
       100	    710000	      5865	      5376
      1000	    710000	      6530	      5464
     10000	    710000	      6031	      4920
    100000	    710000	      6641	      3385
        10	    720000	      5904	      5620
       100	    720000	      5684	      5562
      1000	    720000	      6273	      5539
     10000	    720000	      5927	      5012
    100000	    720000	      7030	      5317
        10	    730000	      6053	      5766
       100	    730000	      5914	      5874
      1000	    730000	      6603	      5569
     10000	    730000	      6729	      5036
    100000	    730000	      7053	      3572
        10	    740000	      6275	      5610
       100	    740000	      6010	      5762
      1000	    740000	      5977	      5707
     10000	    740000	      6179	      5216
    100000	    740000	      7001	      3563
        10	    750000	      6315	      5769
       100	    750000	      5898	      5641
      1000	    750000	      6354	      5696
     10000	    750000	      6301	      5178
    100000	    750000	      7935	      3590
        10	    760000	      6103	      5891
       100	    760000	      6018	      6042
      1000	    760000	      6430	      5779
     10000	    760000	      6398	      5120
    100000	    760000	      7374	      3562
        10	    770000	      6288	      5933
       100	    770000	      5985	      5958
      1000	    770000	      7287	      5872
     10000	    770000	      6380	      5500
    100000	    770000	      8002	      3648
        10	    780000	      6440	      5906
       100	    780000	      6186	      6056
      1000	    780000	      6378	      5954
     10000	    780000	      6135	      5344
    100000	    780000	      7459	      3656
        10	    790000	      6282	      6097
       100	    790000	      6221	      6177
      1000	    790000	      6500	      5873
     10000	    790000	      7158	      5268
    100000	    790000	      7679	      3707
        10	    800000	      6390	      5995
       100	    800000	      6415	      6151
      1000	    800000	      6704	      6079
     10000	    800000	      6887	      5415
    100000	    800000	      7621	      5562
        10	    810000	      6457	      6681
       100	    810000	      6506	      6310
      1000	    810000	      7314	      6178
     10000	    810000	      7174	      5562
    100000	    810000	      7825	      3765
        10	    820000	      7077	      6297
       100	    820000	      7449	      6504
      1000	    820000	      6402	      6191
     10000	    820000	      6960	      5995
    100000	    820000	      7734	      3882
        10	    830000	      6764	      6465
       100	    830000	      7015	      6294
      1000	    830000	      6833	      6242
     10000	    830000	      6972	      6821
    100000	    830000	      7845	      3889
        10	    840000	      6923	      6370
       100	    840000	      7078	      6536
      1000	    840000	      6811	      6439
     10000	    840000	      6790	      5791
    100000	    840000	      7922	      4046
        10	    850000	      6923	      6508
       100	    850000	      6893	      6488
      1000	    850000	      7167	      6563
     10000	    850000	      7108	      5910
    100000	    850000	      8078	      3908
        10	    860000	      6931	      6594
       100	    860000	      7177	      6816
      1000	    860000	      7266	      6583
     10000	    860000	      7128	      5720
    100000	    860000	      8236	      4000
        10	    870000	      7008	      6722
       100	    870000	      7492	      6662
      1000	    870000	      7257	      6537
     10000	    870000	      7021	      5909
    100000	    870000	      8162	      4017
        10	    880000	      7105	      6772
       100	    880000	      7888	      6908
      1000	    880000	      7382	      6536
     10000	    880000	      7099	      5910
    100000	    880000	      8300	      5653
        10	    890000	      7299	      6968
       100	    890000	      7196	      6670
      1000	    890000	      7662	      6792
     10000	    890000	      7215	      6059
    100000	    890000	      8350	      4035
        10	    900000	      7348	      6877
       100	    900000	      8234	      6940
      1000	    900000	      7874	      6717
     10000	    900000	      8076	      6212
    100000	    900000	      8587	      5694
        10	    910000	      7509	      6859
       100	    910000	      8301	      7264
      1000	    910000	      7498	      7058
     10000	    910000	      8198	      6166
    100000	    910000	      8787	      4264
        10	    920000	      7549	      7854
       100	    920000	      7932	      6855
      1000	    920000	      8141	      7958
     10000	    920000	      7708	      6577
    100000	    920000	      8752	      5130
        10	    930000	     17201	      8897
       100	    930000	      8432	      8605
      1000	    930000	      8383	      8605
     10000	    930000	      8412	      7905
    100000	    930000	     10086	      5028
        10	    940000	      8823	      7150
       100	    940000	      8814	      7274
      1000	    940000	      8492	      7111
     10000	    940000	      7673	      6409
    100000	    940000	      8979	      4353
        10	    950000	      7724	      7178
       100	    950000	      8502	      7310
      1000	    950000	      7496	      8352
     10000	    950000	      7789	      6855
    100000	    950000	      9501	      5269
        10	    960000	      8722	      8521
       100	    960000	      8616	      8810
      1000	    960000	      9062	      8428
     10000	    960000	      9030	      7600
    100000	    960000	     10536	      5441
        10	    970000	      8957	      8090
       100	    970000	      8276	      7478
      1000	    970000	      8476	      7305
     10000	    970000	      7725	      6650
    100000	    970000	      9308	      4422
        10	    980000	      7926	      7626
       100	    980000	      8673	      7410
      1000	    980000	      8004	      7412
     10000	    980000	      8478	      6664
    100000	    980000	      9255	      4383
        10	    990000	      7911	      7764
       100	    990000	      8950	      7560
      1000	    990000	      9132	      7565
     10000	    990000	      8337	      6585
    100000	    990000	      9358	      4525
        10	   1000000	      8048	      7768
       100	   1000000	      8693	      7601
      1000	   1000000	      7950	      7740
     10000	   1000000	      8871	      6710
    100000	   1000000	      9582	      4582
